tensor(13.1561, device='cuda:0', grad_fn=<MulBackward0>)
tensor(16.4015, device='cuda:0', grad_fn=<MulBackward0>)
tensor(14.3558, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.3508, device='cuda:0', grad_fn=<MulBackward0>)
tensor(17.1654, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.1882, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.3848, device='cuda:0', grad_fn=<MulBackward0>)
tensor(14.9115, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.6882, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.3871, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.2572, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.9612, device='cuda:0', grad_fn=<MulBackward0>)
tensor(14.0269, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.8437, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.5156, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.3530, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.8448, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.1184, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.8120, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.8498, device='cuda:0', grad_fn=<MulBackward0>)
tensor(14.5210, device='cuda:0', grad_fn=<MulBackward0>)
tensor(14.8474, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.4179, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.4853, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.2357, device='cuda:0', grad_fn=<MulBackward0>)
tensor(16.1661, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.8902, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.6781, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.9008, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.3157, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.5430, device='cuda:0', grad_fn=<MulBackward0>)
tensor(16.0335, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.0348, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.8208, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.7763, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.1074, device='cuda:0', grad_fn=<MulBackward0>)
tensor(9.7899, device='cuda:0', grad_fn=<MulBackward0>)
tensor(14.5668, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.3481, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.3803, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.4750, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.3599, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.5916, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.6067, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.9079, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.1912, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.2451, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.2246, device='cuda:0', grad_fn=<MulBackward0>)
tensor(14.9619, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.1747, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.3109, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.3421, device='cuda:0', grad_fn=<MulBackward0>)
tensor(14.1362, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.1401, device='cuda:0', grad_fn=<MulBackward0>)
tensor(14.8370, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.3484, device='cuda:0', grad_fn=<MulBackward0>)
tensor(16.1268, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.2572, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.1810, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.2074, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.2324, device='cuda:0', grad_fn=<MulBackward0>)
tensor(16.0585, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.2464, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.8295, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.0352, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.8069, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.1643, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.1557, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.6631, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.8925, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.1546, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.7402, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.0021, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.6871, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.2514, device='cuda:0', grad_fn=<MulBackward0>)
tensor(14.8948, device='cuda:0', grad_fn=<MulBackward0>)
tensor(14.2690, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.6474, device='cuda:0', grad_fn=<MulBackward0>)
tensor(9.8377, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.5260, device='cuda:0', grad_fn=<MulBackward0>)
tensor(17.3732, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.7296, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.9881, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.1545, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.4645, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.7136, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.9864, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.5362, device='cuda:0', grad_fn=<MulBackward0>)
